domain,country,provider_type,provider,count
protonmail.ch,0,0.0,0.0,
experimenta.science,unknown,1.0,0,
stud.hs-offenburg.de,Germany,2.0,Hochschule Offenburg,
ph-freiburg.de,Germany,2.0,PH Freiburg,
rz.uni-freiburg.de,Germany,2.0,Universität Freiburg,
hotmail.fr,unknown,0.0,0.0,
cornelsen.de,unknown,1.0,0,
student.fhvd-sh.de,Germany,2.0,FH für Verwaltung und Dienstleistung Altenholz,
buz.at,unknown,1.0,0,
kvno.de,unknown,1.0,0,
hs-merseburg.de,Germany,2.0,Hochschule Merseburg,
kabelbw.de,unknown,1.0,0,
pl.rlp.de,unknown,1.0,0,
yahoo.es,unknown,0.0,0.0,
lernlink.de,unknown,1.0,0,
dg-nexolution.de,unknown,1.0,0,
hamburg.de,unknown,1.0,0,
htwg-konstanz.de,Germany,2.0,HTWG Konstanz,
stud.ph-ludwigsburg.de,Germany,2.0,PH Ludwigsburg,
126.com,unknown,0.0,0.0,
education.lu,unknown,1.0,0,
dfg.de,unknown,1.0,0,
staff.uni-marburg.de,Germany,2.0,Universität Marburg,
adesso.de,unknown,1.0,0,
uksh.de,unknown,1.0,0,
polizei.rlp.de,unknown,1.0,0,
alumni.fh-aachen.de,Germany,2.0,FH Aachen,
linc.de,unknown,1.0,0,
stud.ku.de,Germany,2.0,Universität Eichstätt-Ingolstadt,
hs-coburg.de,Germany,2.0,Hochschule Coburg,
accenture.com,unknown,1.0,0,
students.hs-mainz.de,Germany,2.0,Hochschule Mainz,
dataport.de,unknown,1.0,0,
hs-flensburg.de,Germany,2.0,Hochschule Flensburg,
tsn.at,unknown,1.0,0,
wago.com,unknown,1.0,0,
pd-g.de,unknown,1.0,0,
softwareag.com,unknown,1.0,0,
enst.dz,unknown,1.0,0,
med.uni-jena.de,Germany,2.0,Universität Jena,
trash-mail.com,unknown,0.0,0.0,
vivantes.de,unknown,1.0,0,
verw.hs-fulda.de,Germany,2.0,Hochschule Fulda,
zqs.uni-hannover.de,Germany,2.0,Universität Hannover,
ewe.net,unknown,1.0,0,
gwdg.de,unknown,1.0,0,
hdba.de,Germany,2.0,Hochschule der Bundesagentur für Arbeit,
itzbund.de,unknown,1.0,0,
enbw.com,unknown,1.0,0,
htw-dresden.de,Germany,2.0,HTW Dresden,
imaginary.org,unknown,1.0,0,
fom.de,Germany,2.0,FOM Hochschule,
directbox.com,unknown,0.0,0.0,
bfh.ch,Switzerland,2.0,BFH - Bern University of Applied Sciences,
tutanota.de,0,0.0,0.0,
hsbund.de,Germany,2.0,Hochschule des Bundes für öffentliche Verwaltung,
med.uni-frankfurt.de,Germany,2.0,Universität Frankfurt,
zhv.rwth-aachen.de,Germany,2.0,RWTH Aachen,
hs-nordhausen.de,Germany,2.0,Hochschule Nordhausen,
wilo.com,unknown,1.0,0,
irights-lab.de,unknown,1.0,0,
eu.umicore.com,unknown,1.0,0,
dshs-koeln.de,Germany,2.0,Deutsche Sporthochschule Köln,
med.uni-tuebingen.de,Germany,2.0,Universität Tübingen,
bwhw.de,unknown,1.0,0,
thuenen.de,unknown,1.0,0,
gi.de,unknown,1.0,0,
snafu.de,unknown,1.0,0,
mdw.ac.at,Austria,2.0,Universität für Musik und darstellende Kunst Wien,
ph-weingarten.de,Germany,2.0,PH Weingarten,
gmsh.de,unknown,1.0,0,
htwk-leipzig.de,Germany,2.0,HTWK Leipzig,
ethz.ch,Switzerland,2.0,ETHZ - ETH Zurich,
bluemail.ch,unknown,0.0,0.0,
concepture.de,unknown,1.0,0,
iao.fraunhofer.de,unknown,1.0,0,
steeleurope.com,unknown,1.0,0,
stud.hs-fresenius.de,Germany,2.0,Hochschule Fresenius,
bildung.gv.at,unknown,1.0,0,
mx.uni-saarland.de,Germany,2.0,Universität des Saarlandes,
ukdd.de,unknown,1.0,0,
gmx.eu,0,0.0,0.0,
byom.de,unknown,0.0,0.0,
atruvia.de,unknown,1.0,0,
live.at,unknown,0.0,0.0,
hs-emden-leer.de,Germany,2.0,Hochschule Emden/Leer,
eye2eye.gmbh,unknown,1.0,0,
nibis.de,unknown,1.0,0,
rwu.de,Germany,2.0,Hochschule Ravensburg-Weingarten,
sva.de,unknown,1.0,0,
datev.de,unknown,1.0,0,
hs-anhalt.de,Germany,2.0,Hochschule Anhalt,
iu-study.org,unknown,1.0,0,
schueler.hhg-calw.de,unknown,1.0,0,
th-ab.de,Germany,2.0,TH Aschaffenburg,
study.thws.de,Germany,2.0,TH Würzburg-Schweinfurt,
bayer.com,unknown,1.0,0,
cgm.com,unknown,1.0,0,
ikarus-rhein-neckar.de,unknown,1.0,0,
ki-campus.org,unknown,1.0,0,
fs.de,unknown,1.0,0,
bvg.de,unknown,1.0,0,
tu-clausthal.de,Germany,2.0,TU Clausthal,
lvr.de,unknown,1.0,0,
admin.uni-giessen.de,Germany,2.0,Universität Gießen,
st.ovgu.de,Germany,2.0,OVGU Magdeburg,
ntg-connect.com,unknown,1.0,0,
competence.lu,unknown,1.0,0,
fb1.fra-uas.de,unknown,1.0,0,
sapera.com,unknown,1.0,0,
dguv.de,Germany,2.0,Hochschule der DGUV,
ulb.uni-bonn.de,Germany,2.0,Universität Bonn,
katho-nrw.de,Germany,2.0,Kath. Hochschule NRW,
audi.de,unknown,1.0,0,
wittenstein.de,unknown,1.0,0,
gmx.li,unknown,0.0,0.0,
libero.it,unknown,0.0,0.0,
bayernlab.bayern.de,unknown,1.0,0,
draeger.com,unknown,1.0,0,
iwu.fraunhofer.de,unknown,1.0,0,
fhv.at,Austria,2.0,Fachhochschule Vorarlberg,
zuerich.ch,unknown,1.0,0,
stiftung-sag.ch,unknown,1.0,0,
ieee.org,unknown,1.0,0,
passmail.net,unknown,1.0,0,
cbs.de,Germany,2.0,Cologne Business School,
informatik.hs-fulda.de,Germany,2.0,Hochschule Fulda,
sowi.uni-kl.de,Germany,2.0,TU Kaiserslautern,
bva.bund.de,unknown,1.0,0,
afriso.de,unknown,1.0,0,
st.ouc.ac.cy,Cyprus,2.0,Open University of Cyprus,
br.de,unknown,1.0,0,
koeln.de,unknown,1.0,0,
student.ism.de,Germany,2.0,International School of Management,
